Disease,Symptoms,Remedies,How to Apply Remedies
Anxiety,"Restlessness, excessive worry, irritability, sleep disturbances", <br>Ashwagandha: A herb known for its adaptogenic properties.   <br>Brahmi: Calms the mind and enhances cognitive function. <br>, <br>Ashwagandha: Take 500 mg twice daily with milk or water.   <br>Brahmi: Consume 300 mg twice daily as a supplement or in tea. <br>
Depression,"Persistent sadness, hopeless, depression, fatigue, low appetite", <br>Saffron: Improves mood and emotional well-being.   <br>Jatamansi: Supports mental health and reduces stress. <br>," <br>Saffron: Add a pinch to warm milk or water once daily.   <br>Jatamansi: Take 500 mg daily, preferably with a meal. <br>"
Insomnia,"Difficulty falling asleep, frequent waking, daytime fatigue", <br>Valerian Root: Promotes relaxation and improves sleep quality. <br>  Shankhpushpi: Helps calm the mind and support sleep. <br>, <br>Valerian Root: Take 400-800 mg of the extract 30 minutes before bedtime.   <br>Shankhpushpi: Take 500 mg daily before sleep. <br>
Stress,"Tension, headaches, muscle pain, irritability", <br>Holy Basil (Tulsi): Reduces stress and enhances resilience.   <br>Chamomile: Calms the nervous system and reduces anxiety. <br>, <br>Tulsi: Drink Tulsi tea twice daily.   <br>Chamomile: Drink chamomile tea before bedtime to relax. <br>
ADHD,"Difficulty focusing, hyperactivity, impulsiveness", <br>Brahmi: Enhances cognitive functions and concentration.  <br>Vacha: Improves mental clarity and focus. <br>, <br>Brahmi: Take 300 mg twice daily with meals.  <br>Vacha: Use 500 mg daily as a supplement. <br>
Memory Loss,"Forgetfulness, difficulty in recalling information, confusion", <br>Gotu Kola: Improves memory and cognitive functions. <br> Ginseng: Enhances mental performance and alertness. <br>," <br>Gotu Kola: Take 500 mg twice daily with meals. <br> Ginseng: Consume 200 mg daily, preferably in the morning. <br>"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, irregular bowel movements", <br>Triphala: Supports digestive health and relieves IBS symptoms. <br> Psyllium Husk: Improves bowel regularity. <br>, <br>Triphala: Take 1 teaspoon of powder before bedtime with water. <br> Psyllium Husk: Mix 1-2 teaspoons in water daily. <br>
Fatigue,"Persistent tiredness, low energy, weakness", <br>Ashwagandha: Boosts energy levels and reduces fatigue. <br> Shatavari: Supports overall vitality and energy. <br>," <br>Ashwagandha: Take 500 mg twice daily with meals. <br> Shatavari: Consume 500 mg daily, preferably in the morning. <br>"
Headaches,"Pain or discomfort in the head, sensitivity to light and sound", <br>Peppermint: Relieves tension headaches. <br> Turmeric: Reduces inflammation and alleviates headache pain. <br>, <br>Peppermint: Apply diluted peppermint oil on the temples. <br> Turmeric: Add turmeric powder to meals or take as a supplement. <br>
High Blood Pressure,"Elevated blood pressure, headaches, dizziness", <br>Garlic: Helps reduce blood pressure and improve cardiovascular health. <br> Hawthorn: Supports heart health and reduces blood pressure. <br>," <br>Garlic: Consume 1-2 cloves of raw garlic daily or take garlic supplements. <br> Hawthorn: Take 300 mg daily, preferably with meals. <br>"
